[2024-06-11 11:53:31] [INFO]: {'find_unused_parameters': False, 'enable_float16': True, 'with_test': False, 'fix_BN': False, 'log_iter': 100, 'restore_ckpt_strict': True, 'optimizer_reset': False, 'scheduler_reset': False, 'restore_hint': 0, 'save_iter': 10000, 'save_name': 'GEI_Predict', 'sync_BN': True, 'total_iter': 180000, 'sampler': {'batch_shuffle': True, 'batch_size': [4, 6], 'frames_num_fixed': 30, 'frames_num_max': 40, 'frames_num_min': 20, 'sample_type': 'unfixed_unordered', 'type': 'TripletSampler'}, 'transform': [{'type': 'Compose', 'trf_cfg': [{'type': 'RandomPerspective', 'prob': 0.2}, {'type': 'BaseSilCuttingTransform'}, {'type': 'RandomHorizontalFlip', 'prob': 0.2}, {'type': 'RandomRotate', 'prob': 0.2}]}]}
[2024-06-11 11:53:31] [INFO]: {'model': 'GeiPredict', 'Backbone': {'mode': 'p3d', 'in_channels': 1, 'layers': [1, 1, 1, 1], 'channels': [64, 128, 256, 512]}, 'bin_num': [16]}
[2024-06-11 11:53:33] [INFO]: {'dataset_name': 'GREW', 'dataset_root': '/scratch/aniketk.scee.iitmandi/Datasets/GREW-pkl', 'num_workers': 10, 'dataset_partition': './datasets/GREW/GREW.json', 'remove_no_gallery': False, 'cache': False, 'test_dataset_name': 'GREW'}
[2024-06-11 12:17:20] [INFO]: Iteration 02200, Cost 57.36s, triplet_loss=0.2034, triplet_hard_loss=0.7400, triplet_loss_num=817.4938, triplet_mean_dist=0.6296, gei_loss=2.6523
[2024-06-11 12:18:18] [INFO]: Iteration 02300, Cost 57.30s, triplet_loss=0.1989, triplet_hard_loss=0.7395, triplet_loss_num=839.9963, triplet_mean_dist=0.6265, gei_loss=2.5098
[2024-06-11 12:19:14] [INFO]: Iteration 02400, Cost 56.05s, triplet_loss=0.2018, triplet_hard_loss=0.7487, triplet_loss_num=772.5769, triplet_mean_dist=0.6606, gei_loss=2.5527
[2024-06-11 12:20:11] [INFO]: Iteration 02500, Cost 57.06s, triplet_loss=0.2015, triplet_hard_loss=0.7359, triplet_loss_num=760.4025, triplet_mean_dist=0.6624, gei_loss=2.4844
[2024-06-11 12:21:08] [INFO]: Iteration 02600, Cost 57.03s, triplet_loss=0.2007, triplet_hard_loss=0.7372, triplet_loss_num=750.4963, triplet_mean_dist=0.6773, gei_loss=2.5859
[2024-06-11 12:22:04] [INFO]: Iteration 02700, Cost 56.54s, triplet_loss=0.2040, triplet_hard_loss=0.7529, triplet_loss_num=759.9000, triplet_mean_dist=0.6783, gei_loss=2.5684
[2024-06-11 12:23:01] [INFO]: Iteration 02800, Cost 56.82s, triplet_loss=0.2006, triplet_hard_loss=0.7395, triplet_loss_num=773.4207, triplet_mean_dist=0.6467, gei_loss=2.5059
[2024-06-11 12:23:59] [INFO]: Iteration 02900, Cost 57.71s, triplet_loss=0.2019, triplet_hard_loss=0.7294, triplet_loss_num=714.3644, triplet_mean_dist=0.6791, gei_loss=2.5742
[2024-06-11 12:24:56] [INFO]: Iteration 03000, Cost 56.77s, triplet_loss=0.2013, triplet_hard_loss=0.7429, triplet_loss_num=725.5463, triplet_mean_dist=0.7034, gei_loss=2.5723
[2024-06-11 12:25:52] [INFO]: Iteration 03100, Cost 56.30s, triplet_loss=0.2027, triplet_hard_loss=0.7529, triplet_loss_num=716.8325, triplet_mean_dist=0.6989, gei_loss=2.4473
[2024-06-11 12:26:49] [INFO]: Iteration 03200, Cost 56.98s, triplet_loss=0.2013, triplet_hard_loss=0.7446, triplet_loss_num=705.6937, triplet_mean_dist=0.7057, gei_loss=2.5488
